phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,2,34.33,34.33,34.62,34.62,34.62,34.6
reverse_retrieve,2,0.20,0.20,0.52,0.52,0.52,0.5
