phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,32,1028.98,2191.85,1284.45,2373.62,2373.62,2373.7
reverse_retrieve,32,860.71,1615.15,1096.74,1891.01,2103.88,2103.9
