model,prefix_tokens,rep,tag,store_drained,chunk_files,arm,ttft_s,fs_load_calls,cpu_load_jobs,io_s,io_wall_s,io_bytes,path_check
facebook/opt-125m,512,0,mech-validation-v2,True,32,A_recompute,0.0279,0,0,0.6073,0.0231,18874368,True
facebook/opt-125m,512,0,mech-validation-v2,True,32,B_cpu_hit,0.0242,0,1,0,0,0,True
facebook/opt-125m,512,0,mech-validation-v2,True,32,C_ssd_hit,0.0408,32,1,0.6245,0.0236,18874368,True
facebook/opt-125m,512,1,mech-validation-v2,True,32,A_recompute,0.0147,0,0,0.1619,0.0088,18874368,True
facebook/opt-125m,512,1,mech-validation-v2,True,32,B_cpu_hit,0.0245,0,1,0,0,0,True
facebook/opt-125m,512,1,mech-validation-v2,True,32,C_ssd_hit,0.045,32,1,0.6291,0.027,18874368,True
facebook/opt-125m,512,2,mech-validation-v2,True,32,A_recompute,0.0147,0,0,0.1611,0.0087,18874368,True
facebook/opt-125m,512,2,mech-validation-v2,True,32,B_cpu_hit,0.024,0,1,0,0,0,True
facebook/opt-125m,512,2,mech-validation-v2,True,32,C_ssd_hit,0.0412,32,1,0.614,0.0237,18874368,True
facebook/opt-125m,1024,0,mech-validation-v2,True,64,A_recompute,0.0361,0,0,0.3867,0.0173,37748736,True
facebook/opt-125m,1024,0,mech-validation-v2,True,64,B_cpu_hit,0.0286,0,1,0,0,0,True
facebook/opt-125m,1024,0,mech-validation-v2,True,64,C_ssd_hit,0.0705,64,1,1.1162,0.0482,37748736,True
facebook/opt-125m,1024,1,mech-validation-v2,True,64,A_recompute,0.0361,0,0,0.3628,0.0159,37748736,True
facebook/opt-125m,1024,1,mech-validation-v2,True,64,B_cpu_hit,0.0288,0,1,0,0,0,True
facebook/opt-125m,1024,1,mech-validation-v2,True,64,C_ssd_hit,0.0739,64,1,1.1981,0.0509,37748736,True
facebook/opt-125m,1024,2,mech-validation-v2,True,64,A_recompute,0.036,0,0,0.4631,0.0186,37748736,True
facebook/opt-125m,1024,2,mech-validation-v2,True,64,B_cpu_hit,0.0282,0,1,0,0,0,True
facebook/opt-125m,1024,2,mech-validation-v2,True,64,C_ssd_hit,0.0448,64,1,0.5373,0.0239,37748736,True
facebook/opt-125m,2032,0,mech-validation-v2,True,127,A_recompute,0.1096,0,0,0.8087,0.0305,74907648,True
facebook/opt-125m,2032,0,mech-validation-v2,True,127,B_cpu_hit,0.032,0,1,0,0,0,True
facebook/opt-125m,2032,0,mech-validation-v2,True,127,C_ssd_hit,0.1126,127,1,2.3023,0.0873,74907648,True
facebook/opt-125m,2032,1,mech-validation-v2,True,127,A_recompute,0.0886,0,0,0.7921,0.0292,74907648,True
facebook/opt-125m,2032,1,mech-validation-v2,True,127,B_cpu_hit,0.0314,0,1,0,0,0,True
facebook/opt-125m,2032,1,mech-validation-v2,True,127,C_ssd_hit,0.0936,127,1,1.5376,0.066,74907648,True
facebook/opt-125m,2032,2,mech-validation-v2,True,127,A_recompute,0.0887,0,0,0.8215,0.0304,74907648,True
facebook/opt-125m,2032,2,mech-validation-v2,True,127,B_cpu_hit,0.0329,0,1,0,0,0,True
facebook/opt-125m,2032,2,mech-validation-v2,True,127,C_ssd_hit,0.1073,127,1,2.1996,0.0797,74907648,True
facebook/opt-2.7b,512,0,gate-opt2.7b,True,32,A_recompute,0.7028,0,0,1.9124,0.0787,167772160,True
facebook/opt-2.7b,512,0,gate-opt2.7b,True,32,B_cpu_hit,0.0475,0,1,0,0,0,True
facebook/opt-2.7b,512,0,gate-opt2.7b,True,32,C_ssd_hit,0.1472,32,1,2.2682,0.1043,167772160,True
facebook/opt-2.7b,512,1,gate-opt2.7b,True,32,A_recompute,0.145,0,0,1.3106,0.0664,167772160,True
facebook/opt-2.7b,512,1,gate-opt2.7b,True,32,B_cpu_hit,0.0492,0,1,0,0,0,True
facebook/opt-2.7b,512,1,gate-opt2.7b,True,32,C_ssd_hit,0.1258,32,1,2.1061,0.083,167772160,True
facebook/opt-2.7b,512,2,gate-opt2.7b,True,32,A_recompute,0.1443,0,0,1.3067,0.0654,167772160,True
facebook/opt-2.7b,512,2,gate-opt2.7b,True,32,B_cpu_hit,0.0489,0,1,0,0,0,True
facebook/opt-2.7b,512,2,gate-opt2.7b,True,32,C_ssd_hit,0.1658,32,1,2.5604,0.1122,167772160,True
facebook/opt-2.7b,1024,0,gate-opt2.7b,True,64,A_recompute,0.3574,0,0,3.5385,0.1328,335544320,True
facebook/opt-2.7b,1024,0,gate-opt2.7b,True,64,B_cpu_hit,0.0761,0,1,0,0,0,True
facebook/opt-2.7b,1024,0,gate-opt2.7b,True,64,C_ssd_hit,0.2748,64,1,5.3077,0.1975,335544320,True
facebook/opt-2.7b,1024,1,gate-opt2.7b,True,64,A_recompute,0.3574,0,0,3.6015,0.1348,335544320,True
facebook/opt-2.7b,1024,1,gate-opt2.7b,True,64,B_cpu_hit,0.0675,0,1,0,0,0,True
facebook/opt-2.7b,1024,1,gate-opt2.7b,True,64,C_ssd_hit,0.2663,64,1,4.9134,0.1782,335544320,True
facebook/opt-2.7b,1024,2,gate-opt2.7b,True,64,A_recompute,0.3787,0,0,3.5461,0.134,335544320,True
facebook/opt-2.7b,1024,2,gate-opt2.7b,True,64,B_cpu_hit,0.0673,0,1,0,0,0,True
facebook/opt-2.7b,1024,2,gate-opt2.7b,True,64,C_ssd_hit,0.2263,64,1,3.7011,0.1396,335544320,True
facebook/opt-2.7b,2032,0,gate-opt2.7b,True,127,A_recompute,1.1448,0,0,8.0392,0.2741,665845760,True
facebook/opt-2.7b,2032,0,gate-opt2.7b,True,127,B_cpu_hit,0.1098,0,1,0,0,0,True
facebook/opt-2.7b,2032,0,gate-opt2.7b,True,127,C_ssd_hit,0.4861,127,1,10.6318,0.3641,665845760,True
facebook/opt-2.7b,2032,1,gate-opt2.7b,True,127,A_recompute,1.1571,0,0,7.996,0.2734,665845760,True
facebook/opt-2.7b,2032,1,gate-opt2.7b,True,127,B_cpu_hit,0.1101,0,1,0,0,0,True
facebook/opt-2.7b,2032,1,gate-opt2.7b,True,127,C_ssd_hit,0.4706,127,1,9.9413,0.3353,665845760,True
facebook/opt-2.7b,2032,2,gate-opt2.7b,True,127,A_recompute,1.1619,0,0,7.9734,0.2725,665845760,True
facebook/opt-2.7b,2032,2,gate-opt2.7b,True,127,B_cpu_hit,0.1111,0,1,0,0,0,True
facebook/opt-2.7b,2032,2,gate-opt2.7b,True,127,C_ssd_hit,0.4907,127,1,9.2677,0.3577,665845760,True
