runner,config,model,block,prefix,rep,arm,ttft_s,store_wall_s,n_io,path_ok
v1,expfs-cufile,opt-2.7b,256,2032,2,D_gds,1.0014,0,7,True
v1,expfs-cufile,opt-2.7b,256,1024,-1,conc8_D,0.948,2.7583,32,True
v1,expfs-posix,opt-2.7b,256,1024,0,A_warm,0.4046,0.369,4,True
v1,expfs-posix,opt-2.7b,256,1024,0,E_posix,0.2151,0,4,True
v1,expfs-posix,opt-2.7b,256,1024,1,A_warm,0.3596,0.147,4,True
v1,expfs-posix,opt-2.7b,256,1024,1,E_posix,0.1779,0,4,True
v1,expfs-posix,opt-2.7b,256,1024,2,A_warm,0.4366,0.235,4,True
v1,expfs-posix,opt-2.7b,256,1024,2,E_posix,0.2956,0,4,True
v1,expfs-posix,opt-2.7b,256,2032,0,A_warm,1.2898,0.407,7,True
v1,expfs-posix,opt-2.7b,256,2032,0,E_posix,0.5752,0,7,True
v1,expfs-posix,opt-2.7b,256,2032,1,A_warm,1.1801,0.312,7,True
v1,expfs-posix,opt-2.7b,256,2032,1,E_posix,0.5818,0,7,True
v1,expfs-posix,opt-2.7b,256,2032,2,A_warm,1.1529,0.253,7,True
v1,expfs-posix,opt-2.7b,256,2032,2,E_posix,0.6451,0,7,True
v1,expfs-posix,opt-2.7b,256,1024,-1,conc8_E,1.3446,2.7579,32,True
v2,expfs-cufile,opt-2.7b,64,1024,0,A_warm,0.3731,0.166,16,True
v2,expfs-cufile,opt-2.7b,64,1024,0,D_gds,0.25,0,16,True
v2,expfs-cufile,opt-2.7b,64,1024,1,A_warm,0.3595,0.133,16,True
v2,expfs-cufile,opt-2.7b,64,1024,1,D_gds,0.2606,0,16,True
v2,expfs-cufile,opt-2.7b,64,1024,2,A_warm,0.3593,0.131,16,True
v2,expfs-cufile,opt-2.7b,64,1024,2,D_gds,0.1914,0,16,True
v2,expfs-cufile,opt-2.7b,64,2032,0,A_warm,1.1546,0.257,31,True
v2,expfs-cufile,opt-2.7b,64,2032,0,D_gds,0.4091,0,31,True
v2,expfs-cufile,opt-2.7b,64,2032,1,A_warm,1.1585,0.258,31,True
v2,expfs-cufile,opt-2.7b,64,2032,1,D_gds,0.3346,0,31,True
v2,expfs-cufile,opt-2.7b,64,2032,2,A_warm,1.156,0.258,31,True
v2,expfs-cufile,opt-2.7b,64,2032,2,D_gds,0.382,0,31,True
v2,expfs-cufile,opt-2.7b,64,1024,-1,conc8_D,1.6983,2.7695,128,True
v2,expfs-posix,opt-2.7b,64,1024,0,A_warm,0.7138,0.577,16,True
v2,expfs-posix,opt-2.7b,64,1024,0,E_posix,0.4432,0,16,True
v2,expfs-posix,opt-2.7b,64,1024,1,A_warm,0.3605,0.164,16,True
v2,expfs-posix,opt-2.7b,64,1024,1,E_posix,0.3536,0,16,True
v2,expfs-posix,opt-2.7b,64,1024,2,A_warm,0.3616,0.152,16,True
v2,expfs-posix,opt-2.7b,64,1024,2,E_posix,0.3016,0,16,True
