Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
99.8,8592220722,7333,1171719.7,1824.0,288,10008390,2249698.0,[CUDA memcpy Host-to-Device]
0.2,14679985,645,22759.7,23776.0,928,53119,17735.7,[CUDA memcpy Device-to-Device]
0.0,208703,256,815.2,336.0,288,4448,834.8,[CUDA memset]
0.0,130591,40,3264.8,3200.0,3104,4960,293.4,[CUDA memcpy Device-to-Host]
