Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
95.8,12588914654,846,14880513.8,24655.5,7319,861473247,65354909.8,cudaEventSynchronize
1.3,176301103,7660,23015.8,21028.0,4970,106341,15317.6,cudaLaunchKernel
0.7,88270069,7483,11796.1,9310.0,3119,94330,10037.8,cudaMemcpyAsync
0.7,86577890,4036,21451.4,18641.0,4546,78130,10802.8,cuLaunchKernelEx
0.6,72924085,4504,16191.0,16052.0,4644,58293,7765.3,cuLaunchKernel
0.2,30290612,16904,1791.9,1075.0,247,28698,2148.8,cudaStreamIsCapturing_v10000
0.1,18493042,2925,6322.4,6129.0,1724,28527,3779.6,cudaStreamWaitEvent
0.1,16583179,3050,5437.1,6100.0,1084,31624,3023.6,cudaEventRecordWithFlags_v11010
0.1,15335936,535,28665.3,36844.0,4013,53970,15374.6,cuStreamSynchronize
0.1,12843301,535,24006.2,21551.0,6355,68539,8287.1,cuMemcpyPeerAsync
0.1,7987078,1522,5247.8,6059.0,1555,33151,2857.8,cudaEventCreateWithFlags
0.1,7851128,4504,1743.1,1610.0,412,23366,1041.9,cuKernelGetFunction
0.1,6947335,1519,4573.6,5493.0,915,51196,3269.7,cudaEventDestroy
0.0,6110553,1372,4453.8,1796.5,351,46676,7570.9,cudaMemsetAsync
0.0,544923,66,8256.4,9581.5,1443,23122,5536.3,cudaEventQuery
0.0,473552,7,67650.3,53007.0,14917,144361,48133.9,cuMemcpyBatchAsync
0.0,368338,12,30694.8,20696.0,7330,83782,26394.6,cudaHostAlloc
0.0,291506,1,291506.0,291506.0,291506,291506,0.0,cudaMalloc
0.0,102790,14,7342.1,7027.5,3068,13892,3743.1,cudaEventRecord
0.0,5901,1,5901.0,5901.0,5901,5901,0.0,cuProfilerStart
