phase,count,ttft_p50,ttft_p95,e2e_p50,e2e_p95,e2e_max,phase_wall_s
cold_fill,8,3.20,4.32,3.36,4.48,4.48,4.5
reverse_retrieve,8,2.27,3.42,2.43,3.58,3.58,3.6
